Occupation,Median Annual Wage,Lowest 10% Wage,Top 10% Wage,Education Required,Work Setting,Employment 2024,Projected Employment 2034,Growth Percentage,Job Openings Per Year
Data Scientist,112590,63650,194410,Bachelors Degree,Office,245900,328300,34,23400
Software Developer,131450,79850,211450,Bachelors Degree,Office,1693800,1961400,16,129200
Computer Systems Analyst,103790,63160,166030,Bachelors Degree,Office,521100,566500,9,34200
Computer and Information Research Scientist,140910,80670,232120,Masters Degree,Online,40300,48300,20,3200
Information Security Analyst,124910,69660,186420,Bachelors Degree,Office,182800,234900,29,16000
Financial Analyst,101910,62410,180550,Bachelors Degree,Office,429000,454000,6,29900
Project Management Specialist,100750,59830,165790,Bachelors Degree,Office,1046300,1105000,6,78200
Economist,115440,62340,212710,Masters Degree,Office,17600,17800,1,900
"Advertising , Promotions, and Marketing Manager",159660,63000,239200,Bachelors Degree,Office,434000,460100,6,36400
Postsecondary Teachers,83980,48570,199520,Doctorate Degree,Classroom,1415600,1512300,7,114000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
